HHNR	ZPERS	AUSB	EINK	AUTOS	ZGDE
86000129501	2	0	9	2	159
86000133800	2	0	5	1	86
86000137500	1	0	11	1	86
86000139700	2	0	11	1	86
86000145800	3	0	9	2	95
86000151200	6	0	13	1	86
86000152900	2	0	7	0	86
86000164200	5	0	7	1	86
86000170600	2	0	13	2	86
86000171100	1	0	7	1	86
86000190100	1	0	5	1	86
86000204500	4	0	11	1	86
86000219900	1	0	5	0	86
86000231400	2	0	7	0	86
86000231900	2	0	7	2	86
87000017300	1	0	5	1	87
88000013300	2	0	15	2	88
88000023700	1	0	5	0	88
88000037800	1	0	13	2	88
88000064000	3	0	15	1	88
88000066500	1	0	7	1	88
88000067800	2	0	7	0	88
88000069100	1	0	5	0	88
88000070900	4	0	7	1	88
88000096500	6	0	7	2	88
88000112500	1	0	5	1	88
89000001200	4	0	9	1	89
89000054700	2	0	7	1	89
89000059200	4	0	15	3	89
89000075600	5	0	5	0	89
89000088000	1	0	7	1	89
89000091800	4	0	11	1	89
89000092800	1	0	19	2	89
89000135000	1	0	11	2	89
89000152200	1	0	13	2	89
89000152201	1	0	9	1	4080
90000024700	1	0	7	1	90
90000031000	4	0	11	2	90
90000031800	4	0	9	2	90
90000042800	3	0	9	1	90
90000050900	3	0	11	2	90
90000063000	2	0	9	1	90
90000083300	2	0	11	1	90
90000083900	1	0	7	1	90
90000083901	1	0	5	1	4135
90000105600	3	0	7	1	90
90000112500	3	0	15	1	90
90000126600	4	0	7	1	90
90000142500	3	0	11	1	90
90000160800	4	0	15	1	90
90000167200	1	0	11	1	90
90000183600	4	0	15	2	90
90000188500	2	0	3	1	90
90000221700	1	0	7	1	90
90000225001	4	0	19	2	112
90000240900	1	0	19	1	90
90000242000	1	0	5	0	90
90000248600	2	0	11	1	90
90000253100	4	0	11	2	90
90000256400	2	0	13	3	90
90000304900	1	0	7	1	90
90000321500	2	0	5	1	90
90000329500	1	0	5	0	90
90000342200	3	0	15	1	90
90000349300	4	0	17	1	90
90000352900	2	0	9	3	90
91000015100	4	0	5	2	4318
91000032400	4	0	9	0	91
91000050300	4	0	11	1	91
91000059200	3	0	13	2	91
91000060700	1	0	7	1	91
91000101900	2	0	5	1	98
92000006200	2	0	11	2	92
92000017100	1	0	5	0	92
92000018400	1	0	5	2	92
92000022300	3	0	11	1	92
92000060600	2	0	5	2	92
92000061900	4	0	13	2	92
92000065200	4	0	13	1	92
92000065900	4	0	7	1	92
92000065901	4	0	9	2	4095
92000092300	1	0	7	2	92
92000093100	7	0	15	2	92
92000114600	4	0	11	0	92
92000134000	3	0	7	1	92
92000136000	4	0	11	1	92
92000140900	3	0	9	2	92
92000144300	2	0	11	2	92
92000147200	1	0	9	1	92
92000148700	1	0	5	0	92
92000150000	4	0	11	2	92
92000151900	4	0	7	0	92
92000171600	3	0	7	3	92
92000180400	1	0	7	3	92
92000199300	4	0	9	2	92
92000208400	2	0	11	1	92
92000210800	1	0	13	2	92
92000225300	3	0	7	1	92
92000244300	3	0	9	2	92
92000259700	2	0	13	1	92
93000039700	3	0	9	1	93
93000052600	3	0	15	1	93
93000065100	3	0	7	0	93
94000011600	1	0	9	1	94
94000016000	3	0	9	1	94
94000022800	1	0	7	1	94
94000025000	2	0	7	0	94
94000033500	3	0	13	1	4048
94000044300	4	0	9	3	94
94000048700	2	0	9	1	94
94000055200	2	0	5	1	94
94000107600	2	0	7	1	94
95000003600	1	0	9	1	95
95000007600	1	0	7	1	95
96000029600	2	0	5	2	96
96000064300	2	0	5	2	96
96000064500	2	0	7	1	96
96000079600	3	0	11	1	96
96000100500	2	0	7	2	96
96000115300	3	0	7	1	96
96000134600	1	0	5	2	96
96000241700	1	0	11	1	96
96000245100	1	0	9	1	96
96000245101	1	0	7	1	65
96000245800	1	0	11	0	96
96000248700	1	0	7	0	96
96000251700	1	0	5	0	96
